code,name,category,brand,model,unit,currency_code,sale_price,stock_quantity,minimum_stock,vat_rate,lead_time,description,technical_summary,is_active
M7410E2026,ACTUAT. 0-10V MOD. 180N MAN.OP,Actuators,Honeywell,M7410E2026,adet,USDTRY,377.47,0,0,20,,ACTUAT. 0-10V MOD. 180N MAN.OP,Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: HU | Durum: Active,true
M7410E2034,ACTUAT. 0-10V MOD. 280N MAN.OP,Actuators,Honeywell,M7410E2034,adet,USDTRY,330.00,0,0,20,,ACTUAT. 0-10V MOD. 280N MAN.OP,Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: HU | Durum: Active,true
M7410E4022,ACTUAT.0-10V MOD 180N MAN 2AUX,Actuators,Honeywell,M7410E4022,adet,USDTRY,470.00,0,0,20,,ACTUAT.0-10V MOD 180N MAN 2AUX,Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: HU | Durum: Active,true
M7410E4030,ACTUAT.0-10V MOD 280N MAN 2AUX,Actuators,Honeywell,M7410E4030,adet,USDTRY,487.39,0,0,20,,ACTUAT.0-10V MOD 280N MAN 2AUX,Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: HU | Durum: Active,true
M7410E5001,"ACTUATOR 0-10V 90N, 2.9MM VALVE STROKE",Actuators,Honeywell,M7410E5001,adet,USDTRY,147.25,0,0,20,,"ACTUATOR 0-10V 90N, 2.9MM VALVE STROKE",Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: HU | Durum: Active,true
M7410F1000,"ACTUATOR 0/2..10V,UL,CONDUIT C",Actuators,Honeywell,M7410F1000,adet,USDTRY,355.00,0,0,20,,"ACTUATOR 0/2..10V,UL,CONDUIT C",Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: HU | Durum: Active,true
M7410F3006,"LINEAR ACTUATOR 0/2V,UL,300N",Actuators,Honeywell,M7410F3006,adet,USDTRY,321.47,0,0,20,,"LINEAR ACTUATOR 0/2V,UL,300N",Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: HU | Durum: Active,true
M7435F1001,"ACTUATOR 0/2.10V,UL,180N,SR",Actuators,Honeywell,M7435F1001,adet,USDTRY,386.80,0,0,20,,"ACTUATOR 0/2.10V,UL,180N,SR",Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: HU | Durum: Active,true
M7435F3007,"ACTUATOR 0/2..10V,UL,400N,SR",Actuators,Honeywell,M7435F3007,adet,USDTRY,391.99,0,0,20,,"ACTUATOR 0/2..10V,UL,400N,SR",Grup: Field Devices | Alt kategori: Linear Actuators | Menşei: HU | Durum: Active,true
M800-BG,"THERMAL ACTUATOR, 8MM, 230V, NC",Genel,Honeywell,M800-BG,adet,USDTRY,25.00,0,0,20,,"THERMAL ACTUATOR, 8MM, 230V, NC",Grup: Field Devices | Menşei: CN | Durum: Active,true
M9174C1025/U,ModIV 75lb-in 120Vac Modulating 30-60s,Actuators,Honeywell,M9174C1025/U,adet,USDTRY,800.00,0,0,20,,ModIV 75lb-in 120Vac Modulating 30-60s,Grup: Field Devices | Alt kategori: Rotary Actuators | Menşei: US | Durum: Active,true
M9174F1001/U,MODUTROL MOTOR,Genel,Honeywell,M9174F1001/U,adet,USDTRY,1530.00,0,0,20,,MODUTROL MOTOR,Grup: Field Devices | Menşei: US | Durum: Phase Out Inprogress,false
M9184A1019/U,MOD MOTOR - M9184A1019/U,Actuators,Honeywell,M9184A1019/U,adet,USDTRY,580.72,0,0,20,,MOD MOTOR - M9184A1019/U,Grup: Field Devices | Alt kategori: Rotary Actuators | Menşei: US | Durum: Active,true
M9184F1034/U,ModIV 150lb-in 24Vac Modulating 30-60s,Actuators,Honeywell,M9184F1034/U,adet,USDTRY,750.00,0,0,20,,ModIV 150lb-in 24Vac Modulating 30-60s,Grup: Field Devices | Alt kategori: Rotary Actuators | Menşei: US | Durum: Active,true
MAU8/MS,EXTERNAL THREAD WITH NBR O-RING,Genel,Honeywell,MAU8/MS,adet,USDTRY,145.18,0,0,20,,EXTERNAL THREAD WITH NBR O-RING,Grup: Field Devices | Menşei: DE | Durum: Active,true
ML2524,"Linear act. modulating, 2500N, 40mm",Genel,Honeywell,ML2524,adet,USDTRY,1130.33,0,0,20,,"Linear act. modulating, 2500N, 40mm",Grup: Field Devices | Menşei: CN | Durum: Active,true
